Identifier	F519_33h	F519_41h	F519_45h	F519_49h	F519_53h	F519_57h	F519_61h	F519_65h	F519_69h	F521_33h	F521_41h	F521_45h	F521_49h	F521_53h	F521_57h	F521_61h	F521_65h	F521_69h	F522_33h	F522_41h	F522_45h	F522_49h	F522_53h	F522_57h	F522_61h	F522_65h	F522_69h
SCO0001	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	1.1083263890224364	1.2040657409009976	0.886104166800214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0002	0.0	0.0	0.18518518518518517	0.2222222222222222	0.7749930556891029	0.0	0.0	1.2040657409009976	0.886104166800214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.886104166800214	0.0	0.0	0.0	0.0
SCO0003	0.0	0.0	0.18518518518518517	0.0	0.0	0.0	1.1083263890224364	0.0	3.8818638885241095	1.049624074180912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3823539331682955	0.0	0.0	0.0	0.0	0.0	0.0	0.997215277911325
SCO0004	0.0	0.18518518518518517	0.0	1.5561030051052867	0.7749930556891029	0.0	0.0	0.0	0.886104166800214	1.3823539331682955	2.83247423824485	0.5681425926994305	1.2148983798032413	1.4854774274901565	0.0	1.8597834438448828	0.0	0.0	1.3823539331682955	0.0	0.0	1.8444116846123328	0.0	0.0	0.0	1.2040657409009976	0.997215277911325
SCO0005	0.0	0.0	0.18518518518518517	0.0	0.7749930556891029	0.0	0.0	0.0	0.886104166800214	0.0	0.0	0.0	1.2148983798032413	0.0	1.3823539331682955	0.0	0.0	0.0	0.0	0.0	0.0	1.1083263890224364	0.0	0.0	1.5942306660136858	0.0	1.6984447842069095
SCO0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.886104166800214	1.049624074180912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0007	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.886104166800214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0008	0.0	0.0	0.18518518518518517	0.0	0.0	0.0	0.0	0.0	3.8818638885241095	0.0	0.0	0.5681425926994305	0.0	0.0	0.0	0.0	0.0	0.8305486112446584	0.0	0.0	0.0	1.1083263890224364	0.0	0.0	0.0	0.0	0.0
SCO0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.886104166800214	0.0	0.0	0.5681425926994305	0.0	0.0	0.0	1.3487653925902023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCO0010	0.0	0.0	0.0	0.0	0.2222222222222222	0.3071289351985399	0.0	0.0	3.8818638885241095	1.049624074180912	0.0	0.5681425926994305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1083263890224364	0.0	0.0	0.0	0.0	0.0
