position,attribute,RI_norm,P_value
1,P228,0.5501519,0
2,P137,0.5413573,0
3,P223,0.5342638,0
4,P48,0.5136175,0
5,P181,0.4465856,0
6,P218,0.33241063,0
7,P128,0.31361127,0
8,P209,0.30176064,0
9,P108,0.20511134,0
10,P176,0.16133924,0
11,P27,0.1513354,0
12,P14,0.11570144,0
13,P28,0.11210673,0
14,P127,0.10997383,0
15,P168,0.109758385,0
16,P222,0.10477596,0
17,P111,0.09598788,2.097360881015272949977e-134
18,P155,0.09519174,0
19,P26,0.09428466,0
20,P42,0.09357454,0
21,P202,0.09083417,0
22,P156,0.0890256,0
23,P163,0.088743016,8.623009133249669299301e-133
24,P23,0.08873973,0
25,P33,0.08702202,0
26,P203,0.084233336,0
27,P54,0.08171926,0
28,P18,0.0807476,0
29,P100,0.07372877,0
30,P67,0.073006526,8.718015143480927706616e-219
31,P21,0.072660156,0
32,P24,0.07104692,0
33,P180,0.070797786,0
34,P63,0.07052807,5.46306262635974405464e-81
35,P217,0.06472011,3.205921692050952850082e-14
36,P208,0.064555034,8.235047086544365160325e-42
37,P104,0.058374677,0
38,P124,0.056127854,3.058090905108444765894e-65
39,P6,0.0530349,0
40,P71,0.051052786,2.072590457433813851531e-77
41,P25,0.0453131,2.284880112441399259446e-304
42,P150,0.044222753,2.272120790958740342878e-222
43,P84,0.041336164,9.791301869981756057527e-33
44,P118,0.0355739,0
45,P56,0.03511864,9.191200990980081992401e-30
46,P121,0.03305423,1.982086987037150547524e-17
47,P70,0.0317445,6.170277282170044039597e-13
48,P113,0.03146922,3.010032617086527026457e-18
49,P97,0.0302967,3.596370265862650612607e-15
50,P74,0.029795298,6.920451356181200505006e-15
51,P126,0.0291851,1.165363841037041756944e-05
52,P173,0.029064098,6.908546614246072137371e-19
53,P44,0.028491363,1.689161458721754152606e-18
54,P22,0.028452395,4.959450189785893233106e-66
55,P59,0.027331857,1.552586884367737439646e-05
56,P105,0.02669865,2.817924173625804827046e-35
57,P7,0.02649949,2.140780041218841586465e-165
58,P205,0.026020553,0.0003245046929102188217227
59,P237,0.02489315,3.181588802178752375759e-09
60,P81,0.024536978,0.0001337945538661012710897
61,P122,0.024335431,0.001154356342484002357837
62,P232,0.021400744,1.468064377198344761241e-10
63,P60,0.02092556,1.012145486600135433859e-08
64,P147,0.02030374,3.120753664999129901469e-09
65,P224,0.019324183,7.575762761467980403642e-05
66,P96,0.01918508,0.005643819441495391900365
67,P236,0.018002493,1.302665271227739035344e-13
68,P215,0.017850982,9.173692647936383963349e-05
69,P55,0.015240457,0.00101387524469936452301
70,P73,0.01391925,1.577583304097736346825e-12
71,P216,0.013822938,0.03780305185563282571737
